,ru_name,ru_link,en_name,en_link,ka_name,ka_link
1191,"Месхи, Лейла Георгиевна","https://ru.wikipedia.org/wiki/%D0%9C%D0%B5%D1%81%D1%85%D0%B8,_%D0%9B%D0%B5%D0%B9%D0%BB%D0%B0_%D0%93%D0%B5%D0%BE%D1%80%D0%B3%D0%B8%D0%B5%D0%B2%D0%BD%D0%B0",Leila Meskhi,https://en.wikipedia.org/wiki/Leila_Meskhi,ლეილა მესხი,https://ka.wikipedia.org/wiki/%E1%83%9A%E1%83%94%E1%83%98%E1%83%9A%E1%83%90_%E1%83%9B%E1%83%94%E1%83%A1%E1%83%AE%E1%83%98_(%E1%83%A9%E1%83%9D%E1%83%92%E1%83%91%E1%83%A3%E1%83%A0%E1%83%97%E1%83%94%E1%83%9A%E1%83%98)
1192,"Месхи, Михаил Михайлович","https://ru.wikipedia.org/wiki/%D0%9C%D0%B5%D1%81%D1%85%D0%B8,_%D0%9C%D0%B8%D1%85%D0%B0%D0%B8%D0%BB_%D0%9C%D0%B8%D1%85%D0%B0%D0%B9%D0%BB%D0%BE%D0%B2%D0%B8%D1%87",Mikhail Meskhi,"https://en.wikipedia.org/wiki/Mikheil_Meskhi_(footballer,_born_1961)",,
1193,Категория:Родившиеся в Тбилиси,https://ru.wikipedia.org/wiki/%D0%9A%D0%B0%D1%82%D0%B5%D0%B3%D0%BE%D1%80%D0%B8%D1%8F:%D0%A0%D0%BE%D0%B4%D0%B8%D0%B2%D1%88%D0%B8%D0%B5%D1%81%D1%8F_%D0%B2_%D0%A2%D0%B1%D0%B8%D0%BB%D0%B8%D1%81%D0%B8,Category:Births in Tbilisi,,კატეგორია:თბილისში დაბადებულები,https://ka.wikipedia.org/wiki/%E1%83%99%E1%83%90%E1%83%A2%E1%83%94%E1%83%92%E1%83%9D%E1%83%A0%E1%83%98%E1%83%90:%E1%83%97%E1%83%91%E1%83%98%E1%83%9A%E1%83%98%E1%83%A1%E1%83%A8%E1%83%98_%E1%83%93%E1%83%90%E1%83%91%E1%83%90%E1%83%93%E1%83%94%E1%83%91%E1%83%A3%E1%83%9A%E1%83%94%E1%83%91%E1%83%98
1194,Категория:Родившиеся в Тбилиси,https://ru.wikipedia.org/wiki/%D0%9A%D0%B0%D1%82%D0%B5%D0%B3%D0%BE%D1%80%D0%B8%D1%8F:%D0%A0%D0%BE%D0%B4%D0%B8%D0%B2%D1%88%D0%B8%D0%B5%D1%81%D1%8F_%D0%B2_%D0%A2%D0%B1%D0%B8%D0%BB%D0%B8%D1%81%D0%B8,Category:Births in Tbilisi,,კატეგორია:თბილისში დაბადებულები,https://ka.wikipedia.org/wiki/%E1%83%99%E1%83%90%E1%83%A2%E1%83%94%E1%83%92%E1%83%9D%E1%83%A0%E1%83%98%E1%83%90:%E1%83%97%E1%83%91%E1%83%98%E1%83%9A%E1%83%98%E1%83%A1%E1%83%A8%E1%83%98_%E1%83%93%E1%83%90%E1%83%91%E1%83%90%E1%83%93%E1%83%94%E1%83%91%E1%83%A3%E1%83%9A%E1%83%94%E1%83%91%E1%83%98
1195,"Месхи, Михаил Шалвович","https://ru.wikipedia.org/wiki/%D0%9C%D0%B5%D1%81%D1%85%D0%B8,_%D0%9C%D0%B8%D1%85%D0%B0%D0%B8%D0%BB_%D0%A8%D0%B0%D0%BB%D0%B2%D0%BE%D0%B2%D0%B8%D1%87",Mikheil Meskhi,https://en.wikipedia.org/wiki/Mikheil_Meskhi,მიხეილ მესხი,https://ka.wikipedia.org/wiki/%E1%83%9B%E1%83%98%E1%83%AE%E1%83%94%E1%83%98%E1%83%9A_%E1%83%9B%E1%83%94%E1%83%A1%E1%83%AE%E1%83%98
1196,"Месхидзе, Нана Арчиловна","https://ru.wikipedia.org/wiki/%D0%9C%D0%B5%D1%81%D1%85%D0%B8%D0%B4%D0%B7%D0%B5,_%D0%9D%D0%B0%D0%BD%D0%B0_%D0%90%D1%80%D1%87%D0%B8%D0%BB%D0%BE%D0%B2%D0%BD%D0%B0",Nana Meskhidze,https://en.wikipedia.org/wiki/Nana_Meskhidze,ნანა მესხიძე,https://ka.wikipedia.org/wiki/%E1%83%9C%E1%83%90%E1%83%9C%E1%83%90_%E1%83%9B%E1%83%94%E1%83%A1%E1%83%AE%E1%83%98%E1%83%AB%E1%83%94
1197,"Метревели, Александр Ираклиевич","https://ru.wikipedia.org/wiki/%D0%9C%D0%B5%D1%82%D1%80%D0%B5%D0%B2%D0%B5%D0%BB%D0%B8,_%D0%90%D0%BB%D0%B5%D0%BA%D1%81%D0%B0%D0%BD%D0%B4%D1%80_%D0%98%D1%80%D0%B0%D0%BA%D0%BB%D0%B8%D0%B5%D0%B2%D0%B8%D1%87",Alex Metreveli,https://en.wikipedia.org/wiki/Alex_Metreveli,ალექსანდრე მეტრეველი,https://ka.wikipedia.org/wiki/%E1%83%90%E1%83%9A%E1%83%94%E1%83%A5%E1%83%A1%E1%83%90%E1%83%9C%E1%83%93%E1%83%A0%E1%83%94_%E1%83%9B%E1%83%94%E1%83%A2%E1%83%A0%E1%83%94%E1%83%95%E1%83%94%E1%83%9A%E1%83%98
1198,"Мзевашвили, Алеко","https://ru.wikipedia.org/wiki/%D0%9C%D0%B7%D0%B5%D0%B2%D0%B0%D1%88%D0%B2%D0%B8%D0%BB%D0%B8,_%D0%90%D0%BB%D0%B5%D0%BA%D0%BE",Aleko Mzevashvili,,ალეკო მზევაშვილი,https://ka.wikipedia.org/wiki/%E1%83%90%E1%83%9A%E1%83%94%E1%83%99%E1%83%9D_%E1%83%9B%E1%83%96%E1%83%94%E1%83%95%E1%83%90%E1%83%A8%E1%83%95%E1%83%98%E1%83%9A%E1%83%98
1199,"Миансаров, Михаил Месропович","https://ru.wikipedia.org/wiki/%D0%9C%D0%B8%D0%B0%D0%BD%D1%81%D0%B0%D1%80%D0%BE%D0%B2,_%D0%9C%D0%B8%D1%85%D0%B0%D0%B8%D0%BB_%D0%9C%D0%B5%D1%81%D1%80%D0%BE%D0%BF%D0%BE%D0%B2%D0%B8%D1%87",,,,
1200,"Мизандари, Алоизий","https://ru.wikipedia.org/wiki/%D0%9C%D0%B8%D0%B7%D0%B0%D0%BD%D0%B4%D0%B0%D1%80%D0%B8,_%D0%90%D0%BB%D0%BE%D0%B8%D0%B7%D0%B8%D0%B9_%D0%98%D0%BE%D1%81%D0%B8%D1%84%D0%BE%D0%B2%D0%B8%D1%87",Aloizy Mizandary,,ალოიზ მიზანდარი,https://ka.wikipedia.org/wiki/%E1%83%90%E1%83%9A%E1%83%9D%E1%83%98%E1%83%96_%E1%83%9B%E1%83%98%E1%83%96%E1%83%90%E1%83%9C%E1%83%93%E1%83%90%E1%83%A0%E1%83%98
1201,Важа Микаберидзе,"https://ru.wikipedia.org/wiki/%D0%9C%D0%B8%D0%BA%D0%B0%D0%B1%D0%B5%D1%80%D0%B8%D0%B4%D0%B7%D0%B5,_%D0%92%D0%B0%D0%B6%D0%B0",Mikaberidze Vaja,,,
1202,Микаелян Александр Львович,"https://ru.wikipedia.org/wiki/%D0%9C%D0%B8%D0%BA%D0%B0%D0%B5%D0%BB%D1%8F%D0%BD,_%D0%90%D0%BB%D0%B5%D0%BA%D1%81%D0%B0%D0%BD%D0%B4%D1%80_%D0%9B%D1%8C%D0%B2%D0%BE%D0%B2%D0%B8%D1%87",Alexander Mikayelyan,,,
1203,"Микашавидзе, Василий","https://ru.wikipedia.org/wiki/%D0%9C%D0%B8%D0%BA%D0%B0%D1%88%D0%B0%D0%B2%D0%B8%D0%B4%D0%B7%D0%B5,_%D0%92%D0%B0%D1%81%D0%B8%D0%BB%D0%B8%D0%B9",,,,
1204,"Микаэлян, Андрей Леонович","https://ru.wikipedia.org/wiki/%D0%9C%D0%B8%D0%BA%D0%B0%D1%8D%D0%BB%D1%8F%D0%BD,_%D0%90%D0%BD%D0%B4%D1%80%D0%B5%D0%B9_%D0%9B%D0%B5%D0%BE%D0%BD%D0%BE%D0%B2%D0%B8%D1%87",,,,
1205,"Микеладзе, Давид","https://ru.wikipedia.org/wiki/%D0%9C%D0%B8%D0%BA%D0%B5%D0%BB%D0%B0%D0%B4%D0%B7%D0%B5,_%D0%94%D0%B0%D0%B2%D0%B8%D0%B4",,,,
1206,Леван Микеладзе,"https://ru.wikipedia.org/wiki/%D0%9C%D0%B8%D0%BA%D0%B5%D0%BB%D0%B0%D0%B4%D0%B7%D0%B5,_%D0%9B%D0%B5%D0%B2%D0%B0%D0%BD",Levan Mikeladze,https://en.wikipedia.org/wiki/Levan_Mikeladze,ლევან მიქელაძე,
1207,Нами Артемьевна Микоян,"https://ru.wikipedia.org/wiki/%D0%9C%D0%B8%D0%BA%D0%BE%D1%8F%D0%BD,_%D0%9D%D0%B0%D0%BC%D0%B8_%D0%90%D1%80%D1%82%D0%B5%D0%BC%D1%8C%D0%B5%D0%B2%D0%BD%D0%B0",Nami Artemievna Mikoyan,,,
1208,Степан Анастасович Микоян,"https://ru.wikipedia.org/wiki/%D0%9C%D0%B8%D0%BA%D0%BE%D1%8F%D0%BD,_%D0%A1%D1%82%D0%B5%D0%BF%D0%B0%D0%BD_%D0%90%D0%BD%D0%B0%D1%81%D1%82%D0%B0%D1%81%D0%BE%D0%B2%D0%B8%D1%87",Stephen Anastasovych Mikoyan,,,
1209,"Милаев, Евгений Тимофеевич","https://ru.wikipedia.org/wiki/%D0%9C%D0%B8%D0%BB%D0%B0%D0%B5%D0%B2,_%D0%95%D0%B2%D0%B3%D0%B5%D0%BD%D0%B8%D0%B9_%D0%A2%D0%B8%D0%BC%D0%BE%D1%84%D0%B5%D0%B5%D0%B2%D0%B8%D1%87",Yevgeny Milayev,,,
1210,"Милашевский, Владимир Алексеевич","https://ru.wikipedia.org/wiki/%D0%9C%D0%B8%D0%BB%D0%B0%D1%88%D0%B5%D0%B2%D1%81%D0%BA%D0%B8%D0%B9,_%D0%92%D0%BB%D0%B0%D0%B4%D0%B8%D0%BC%D0%B8%D1%80_%D0%90%D0%BB%D0%B5%D0%BA%D1%81%D0%B5%D0%B5%D0%B2%D0%B8%D1%87",Vladimir Milashevsky,,,
1211,"Милорава, Хатуна Ильинична","https://ru.wikipedia.org/wiki/%D0%9C%D0%B8%D0%BB%D0%BE%D1%80%D0%B0%D0%B2%D0%B0,_%D0%A5%D0%B0%D1%82%D1%83%D0%BD%D0%B0_%D0%98%D0%BB%D1%8C%D0%B8%D0%BD%D0%B8%D1%87%D0%BD%D0%B0",Khatuna Milorava,,ხათუნა მილორავა,https://ka.wikipedia.org/wiki/%E1%83%AE%E1%83%90%E1%83%97%E1%83%A3%E1%83%9C%E1%83%90_%E1%83%9B%E1%83%98%E1%83%9A%E1%83%9D%E1%83%A0%E1%83%90%E1%83%95%E1%83%90
1212,Давид Минасян,"https://ru.wikipedia.org/wiki/%D0%9C%D0%B8%D0%BD%D0%B0%D1%81%D1%8F%D0%BD,_%D0%94%D0%B0%D0%B2%D0%B8%D0%B4_%D0%AE%D1%80%D1%8C%D0%B5%D0%B2%D0%B8%D1%87",Davit Minasyan,,,
1213,"Минасян, Михаил Гарегинович","https://ru.wikipedia.org/wiki/%D0%9C%D0%B8%D0%BD%D0%B0%D1%81%D1%8F%D0%BD,_%D0%9C%D0%B8%D1%85%D0%B0%D0%B8%D0%BB_%D0%93%D0%B0%D1%80%D0%B5%D0%B3%D0%B8%D0%BD%D0%BE%D0%B2%D0%B8%D1%87",,,,
1214,"Минашвили, Гурам Варламович","https://ru.wikipedia.org/wiki/%D0%9C%D0%B8%D0%BD%D0%B0%D1%88%D0%B2%D0%B8%D0%BB%D0%B8,_%D0%93%D1%83%D1%80%D0%B0%D0%BC_%D0%92%D0%B0%D1%80%D0%BB%D0%B0%D0%BC%D0%BE%D0%B2%D0%B8%D1%87",Guram Minashvili,https://en.wikipedia.org/wiki/Guram_Minashvili,გურამ მინაშვილი,https://ka.wikipedia.org/wiki/%E1%83%92%E1%83%A3%E1%83%A0%E1%83%90%E1%83%9B_%E1%83%9B%E1%83%98%E1%83%9C%E1%83%90%E1%83%A8%E1%83%95%E1%83%98%E1%83%9A%E1%83%98
1215,"Минашвили, Мамука Теймурович","https://ru.wikipedia.org/wiki/%D0%9C%D0%B8%D0%BD%D0%B0%D1%88%D0%B2%D0%B8%D0%BB%D0%B8,_%D0%9C%D0%B0%D0%BC%D1%83%D0%BA%D0%B0_%D0%A2%D0%B5%D0%B9%D0%BC%D1%83%D1%80%D0%BE%D0%B2%D0%B8%D1%87",Mamuka Minashvili,https://en.wikipedia.org/wiki/Mamuka_Minashvili,მამუკა თეიმურის ძე მინაშვილი,
